"TOK_added","DATE_added","SHOT_added","TIME_added","α0","αI","αB","αP","αn","αM","αR","αe","αk","ind_added","id"
"JET",20001025,52300,64.8829345703125,0.105696,0.772369,0.23705,-0.608587,0.382947,0.184334,1.99048,0.710977,0.430166,9075,2024
"AUGW",20110318,26592,2.7,0.105644,0.773556,0.235999,-0.608865,0.382827,0.184266,1.9905,0.709765,0.428027,3251,922
"AUGW",20171026,34944,6.25,0.105637,0.773104,0.237063,-0.60889,0.38267,0.183729,1.99051,0.710951,0.429631,3869,1492
"JETILW",20160315,90148,55.5,0.105697,0.771791,0.237859,-0.608576,0.382539,0.184326,1.99052,0.711969,0.431484,10251,3104
"AUGW",20090722,24900,3.45,0.105659,0.772249,0.237141,-0.608336,0.382019,0.184403,1.99053,0.71122,0.429961,3128,808
"AUGW",20171026,34944,6.9,0.105637,0.773083,0.237077,-0.608895,0.382678,0.183732,1.99054,0.71099,0.429662,3870,1493
"AUGW",20171026,34944,5.6,0.105637,0.773073,0.237076,-0.608894,0.382693,0.183735,1.99057,0.711016,0.429642,3868,1491
"AUGW",20121023,28726,6.1,0.105639,0.773285,0.236737,-0.609082,0.382505,0.184081,1.99059,0.710611,0.429313,3467,1109
"AUG",19990803,12553,2.85,0.105637,0.774066,0.235173,-0.608692,0.384035,0.184001,1.9906,0.708811,0.426307,2137,366
"JET",20040217,63085,61.1156005859375,0.105673,0.771587,0.24064,-0.608883,0.38283,0.175836,1.9906,0.716132,0.43418,9704,2558
"JET",20010110,53003,63.8893737792969,0.105689,0.772482,0.237343,-0.608989,0.382838,0.184371,1.99062,0.711596,0.430412,9146,2094
"JET",20010323,54197,62.3713989257813,0.105683,0.77066,0.241661,-0.608942,0.381408,0.175518,1.99064,0.717776,0.43683,9215,2162
"AUGW",20171026,34944,5,0.105637,0.77303,0.237096,-0.608898,0.382725,0.183738,1.99065,0.71112,0.429646,3867,1490
"AUGW",20110610,27138,5.05,0.105625,0.774485,0.235998,-0.609981,0.382594,0.184282,1.99066,0.709828,0.428207,3320,984
"JET",20040217,63084,61.1156005859375,0.105672,0.771654,0.240559,-0.608903,0.382986,0.175539,1.99066,0.716052,0.434113,9702,2556
"JETILW",20160405,90436,55,0.105699,0.77173,0.23779,-0.608532,0.382668,0.184322,1.99068,0.711946,0.431467,10301,3154
"AUGW",20110503,26902,5.15,0.10564,0.773715,0.235974,-0.609106,0.382893,0.184268,1.99069,0.709928,0.427892,3296,964
"AUGW",20121023,28727,3.55,0.105639,0.773155,0.236847,-0.609088,0.382521,0.184079,1.99073,0.710867,0.429494,3470,1112
"AUGW",20110503,26901,5.15,0.105638,0.773801,0.235891,-0.609169,0.382946,0.184255,1.99074,0.709847,0.427804,3294,962
"JET",20010319,54128,65.628173828125,0.105702,0.771082,0.239649,-0.608413,0.382247,0.177687,1.99076,0.714954,0.43419,9197,2145
"JETILW",20160413,90574,54.5,0.105694,0.771719,0.237941,-0.608696,0.382647,0.184282,1.99077,0.712275,0.431672,10318,3171
"JETILW",20160413,90576,56,0.105698,0.771759,0.237866,-0.608638,0.382613,0.184378,1.99077,0.712201,0.431374,10320,3173
"AUGW",20171026,34944,4.5,0.105638,0.772901,0.237166,-0.608883,0.38276,0.183775,1.99079,0.711343,0.429718,3866,1489
"JETILW",20140828,87421,57.5,0.105694,0.771695,0.237946,-0.608883,0.382373,0.184553,1.99079,0.712256,0.432147,10142,2995
"JETILW",20160413,90581,53,0.105696,0.771695,0.237943,-0.608672,0.382639,0.184308,1.99081,0.7123,0.431646,10324,3177
"AUGW",20171026,34944,4,0.105639,0.772834,0.23722,-0.608878,0.382755,0.1838,1.99085,0.711479,0.429759,3865,1488
"JETILW",20160413,90570,54.5,0.105695,0.771786,0.237816,-0.608737,0.382734,0.184325,1.99088,0.712072,0.431674,10315,3168
"JETILW",20160315,90149,56,0.105695,0.771733,0.23792,-0.608745,0.382677,0.184323,1.99089,0.712307,0.431663,10252,3105
"JETILW",20160413,90578,55.5,0.105695,0.771677,0.23793,-0.608694,0.382706,0.184302,1.99091,0.712361,0.431634,10322,3175
"AUG",19990408,11944,2.4,0.105691,0.770962,0.239105,-0.608432,0.381901,0.184976,1.99092,0.713412,0.433329,1975,267
"AUG",20020307,15456,5.4,0.105619,0.773996,0.236027,-0.609328,0.383686,0.183656,1.99096,0.70996,0.42813,2347,471
"JET",20010319,54130,64.8829956054688,0.105696,0.771081,0.239912,-0.608676,0.382238,0.177218,1.99097,0.715515,0.4346,9198,2146
"JET",20010320,54149,65.8765869140625,0.105682,0.772374,0.238549,-0.609093,0.383201,0.175483,1.99097,0.713959,0.433124,9207,2154
"AUG",19960521,8170,2.2,0.105656,0.772286,0.237169,-0.608478,0.382575,0.184138,1.99098,0.711698,0.429731,1621,65
"AUGW",20110614,27152,5.45,0.105656,0.772393,0.236708,-0.608432,0.382556,0.184387,1.99098,0.71101,0.429321,3323,986
"JET",20010320,54148,68.1259765625,0.105682,0.772343,0.238582,-0.609093,0.383169,0.175603,1.99099,0.714021,0.433132,9206,2153
"JETILW",20160413,90572,56,0.105697,0.771674,0.237885,-0.608685,0.382754,0.184336,1.99099,0.71235,0.431545,10316,3169
"JET",20030507,59637,63.392578125,0.105683,0.771871,0.238098,-0.609351,0.382404,0.184711,1.99101,0.712563,0.432338,9505,2397
"JETILW",20140828,87425,53,0.105703,0.771492,0.237943,-0.608497,0.382734,0.184358,1.99102,0.712505,0.431461,10146,2999
